,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4669,-25.2,69,967,329,2022-01-01,3.6,0.0,39,81,1641067200,1641067200,1641016800,715,300,1.8,-32.4,final,72,195,-31.5,1732,0.0,2.5,6.4,72,22,300,-28.4,523,1029,1732,342.0,1641045600,0.0
1,1,4685,-16.3,70,965,331,2022-01-02,4.8,0.0,3,81,1641186000,1641175200,1641103200,716,209,1.8,-26.9,final,73,195,-29.3,1743,0.0,3.3,8.0,73,22,209,-23.0,525,1026,1744,329.0,1641110400,0.0
2,2,4701,-7.4,77,962,332,2022-01-03,4.4,0.0,52,81,1641240000,1641193200,1641189600,717,190,1.4,-14.5,final,60,196,-16.3,1449,0.0,3.1,7.6,73,22,190,-11.4,527,1020,1756,318.0,1641189600,0.0
3,3,4718,-6.3,83,951,334,2022-01-04,5.6,2.0,100,82,1641337200,1641358800,1641276000,718,114,0.6000000000000001,-12.1,final,19,197,-12.6,452,2.0,4.2,12.0,74,22,114,-9.8,529,1007,1769,307.0,1641358800,57.5
4,4,4736,-10.0,76,959,336,2022-01-05,7.6,5.0,100,82,1641366000,1641405600,1641362400,719,340,0.6000000000000001,-19.2,final,19,197,-21.9,446,5.0,6.0,14.0,74,22,340,-16.0,531,1018,1783,306.0,1641445200,150.0
5,5,4756,-23.0,71,969,338,2022-01-06,4.8,0.0,82,82,1641495600,1641448800,1641448800,721,310,0.8,-30.3,final,29,198,-29.6,695,0.0,3.8,9.2,75,22,310,-26.6,533,1032,1799,341.0,1641531600,0.0
6,6,4776,-12.2,72,962,340,2022-01-07,8.4,0.5,74,82,1641618000,1641614400,1641535200,722,178,1.0,-27.5,final,29,199,-33.0,692,0.5,4.2,15.6,76,22,178,-23.8,535,1023,1815,331.0,1641546000,15.0
7,7,4797,-5.6,74,954,342,2022-01-08,8.4,0.0,78,83,1641668400,1641621600,1641621600,724,236,0.9,-14.7,final,43,200,-19.3,1020,0.0,6.4,15.2,76,22,236,-11.0,538,1011,1832,326.0,1641704400,0.0
8,8,4819,-20.0,66,974,344,2022-01-09,7.2,0.0,24,83,1641769200,1641711600,1641708000,725,290,1.9,-26.8,final,77,201,-24.1,1846,0.0,4.8,14.0,77,23,290,-22.1,540,1036,1850,314.0,1641790800,0.0
9,9,4841,-17.8,62,978,347,2022-01-10,5.2,0.0,10,83,1641877200,1641873600,1641794400,727,254,1.9,-27.4,final,78,202,-25.6,1868,0.0,2.9,8.4,78,23,254,-22.1,543,1039,1869,306.0,1641819600,0.0
10,10,4865,0.7000000000000001,70,959,350,2022-01-11,6.8,0.0,39,83,1641931200,1641934800,1641880800,729,231,1.9,-12.2,final,72,203,-17.8,1726,0.0,5.1,12.8,79,23,231,-7.6,546,1016,1889,379.0,1641888000,0.0
11,11,4889,0.4,83,960,352,2022-01-12,4.4,0.0,66,84,1642010400,1641974400,1641967200,731,157,1.5,-4.4,final,47,204,-4.1,1118,0.0,2.1,6.0,80,23,157,-1.8,549,1016,1909,367.0,1642046400,0.0
12,12,4913,-2.6,84,963,355,2022-01-13,5.2,0.0,72,84,1642093200,1642086000,1642053600,733,222,0.6000000000000001,-6.9,final,22,205,-8.5,526,0.0,4.1,9.2,80,23,222,-4.5,552,1020,1931,359.0,1642136400,0.0
13,13,4939,-8.5,78,971,359,2022-01-14,5.6,4.5,80,84,1642140000,1642179600,1642140000,735,65,0.6000000000000001,-14.4,final,20,206,-17.0,483,4.5,4.5,10.8,81,23,65,-11.3,555,1029,1954,352.0,1642222800,135.0
14,14,4965,-13.3,77,972,362,2022-01-15,6.8,0.0,56,84,1642309200,1642302000,1642226400,737,151,1.8,-20.5,final,57,207,-24.1,1366,0.0,4.0,12.4,82,23,151,-17.4,559,1032,1977,379.0,1642255200,0.0
15,15,4993,-1.5,78,956,366,2022-01-16,6.8,0.0,87,85,1642363200,1642366800,1642312800,740,276,1.0,-9.9,final,46,208,-13.3,1103,0.0,5.1,12.4,83,23,276,-6.7,564,1012,2002,370.0,1642312800,0.0
16,16,5024,-0.4,84,956,369,2022-01-17,3.6,0.0,70,85,1642453200,1642482000,1642399200,742,232,1.6,-6.5,final,62,209,-10.7,1500,0.0,2.4,6.0,84,24,232,-4.2,569,1012,2028,362.0,1642399200,0.0
17,17,5060,1.5,82,949,373,2022-01-18,9.6,1.0,72,86,1642528800,1642536000,1642485600,744,236,2.0,-8.3,final,57,211,-17.0,1358,1.0,6.7,18.8,86,24,236,-5.7,575,1005,2055,356.0,1642564800,18.5
18,18,5099,-17.8,72,973,377,2022-01-19,8.0,0.0,90,86,1642572000,1642579200,1642572000,747,313,1.1,-24.5,final,26,212,-24.8,626,0.0,6.2,15.6,87,24,313,-20.7,581,1034,2083,347.0,1642654800,0.0
19,19,5140,-20.0,73,979,381,2022-01-20,4.8,0.0,5,86,1642705200,1642741200,1642658400,749,242,2.1,-27.6,final,88,214,-28.5,2106,0.0,2.6,8.8,88,24,242,-24.2,588,1041,2112,341.0,1642687200,0.0
20,20,5185,-3.0,76,963,385,2022-01-21,8.4,1.5,85,87,1642816800,1642784400,1642744800,752,204,0.7000000000000001,-16.6,final,22,216,-22.2,535,1.5,7.0,15.6,89,25,204,-13.2,594,1022,2142,338.0,1642744800,40.0
21,21,5233,-10.4,77,965,389,2022-01-22,8.0,1.0,99,87,1642831200,1642831200,1642831200,754,223,0.7000000000000001,-19.4,final,24,218,-20.7,566,1.0,3.9,14.0,91,25,223,-16.3,601,1025,2174,343.0,1642860000,30.0
22,22,5283,-13.0,79,959,394,2022-01-23,4.8,0.0,85,87,1643000400,1642982400,1642917600,757,236,0.7000000000000001,-22.8,final,24,220,-27.0,580,0.0,2.9,8.0,92,25,236,-20.2,607,1019,2206,344.0,1642935600,0.0
23,23,5335,-11.9,75,959,398,2022-01-24,5.6,0.0,48,88,1643004000,1643022000,1643004000,759,246,1.3,-21.7,final,59,222,-24.4,1420,0.0,4.5,11.2,93,26,246,-18.4,614,1019,2240,347.0,1643086800,0.0
24,24,5389,-21.9,74,972,403,2022-01-25,4.4,0.0,11,88,1643144400,1643140800,1643090400,762,295,1.8,-28.4,final,73,225,-27.0,1754,0.0,3.6,8.8,95,26,295,-25.1,620,1034,2274,431.0,1643173200,0.0
25,25,5444,-1.1,76,959,407,2022-01-26,8.0,0.0,78,89,1643252400,1643227200,1643176800,765,223,0.7000000000000001,-16.7,final,29,227,-26.7,686,0.0,6.0,13.6,96,26,223,-13.5,627,1017,2310,426.0,1643176800,0.0
26,26,5500,-2.2,71,968,412,2022-01-27,6.4,0.0,73,89,1643263200,1643306400,1643263200,767,325,1.3,-15.1,final,45,229,-22.2,1088,0.0,4.6,12.0,98,26,325,-10.9,633,1026,2347,421.0,1643346000,0.0
